char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_575,平成,頭脳,女,93,4340000,0,100,34,0,96,5,6,14,6,病死,1,0,93
sim_576,平成,センス,男,79,2520000,44,100,33,0,7,10,5,85,9,寿命,0,0,79
sim_577,平成,コミュ,女,91,4080000,8,100,34,0,13,8,84,13,13,寿命,1,0,91
sim_578,昭和,肉体,女,88,2290000,41,100,34,0,11,78,11,8,9,寿命,1,0,88
sim_579,令和,センス,男,94,5150000,0,100,34,0,6,10,8,95,12,病死,1,0,94
sim_580,近未来,コミュ,男,96,10080000,0,100,34,0,12,7,99,6,8,病死,1,0,96
sim_581,平成,コミュ,女,87,3560000,24,100,34,0,10,12,90,14,11,寿命,1,0,87
sim_582,令和,コミュ,男,91,4700000,0,100,34,0,9,12,100,14,6,病死,1,0,91
sim_583,平成,肉体,女,95,4600000,40,100,34,0,9,86,5,15,11,寿命,1,0,95
sim_584,平成,センス,女,18,50000,100,100,28,0,14,7,5,32,8,老衰,0,0,18
sim_585,昭和,頭脳,女,91,2530000,10,100,34,0,88,8,12,12,5,寿命,1,0,91
sim_586,令和,コミュ,男,93,5000000,15,100,34,0,6,7,92,10,10,寿命,1,0,93
sim_587,平成,頭脳,男,80,2650000,35,100,33,0,80,10,5,9,6,寿命,1,0,80
sim_588,平成,肉体,女,87,3560000,42,100,34,0,11,87,14,12,5,寿命,1,0,87
sim_589,令和,センス,女,90,4550000,0,100,34,0,13,15,14,97,5,病死,1,0,90
sim_590,平成,運,女,95,4600000,0,100,34,50,14,8,8,7,56,病死,1,0,95
sim_591,昭和,コミュ,男,77,1410000,38,100,33,0,14,6,91,6,8,寿命,0,0,77
sim_592,令和,肉体,男,89,4400000,38,100,34,0,12,90,6,5,13,寿命,1,0,89
sim_593,昭和,センス,男,85,2050000,18,100,34,0,6,14,14,91,13,寿命,1,0,85
sim_594,近未来,センス,女,88,8240000,7,100,34,0,12,15,15,95,13,寿命,1,0,88
sim_595,近未来,頭脳,女,92,9160000,0,100,34,0,100,10,14,13,9,病死,1,0,92
